Category,Item Name,Item Code,Size,Finish,PCS / Set,SPU,MRP (?),New Product
Drawer Slides,Drawer Slides - 35Kg. (35 STDS1-40-35SS 400 mm SS Set of 2 Pcs 1955,STDS1-45-35SS,400 mm | 45 mm | 450 mm | 500 mm,SS,Set of 2 Pcs,450,"2,187",
Drawer Slides,Drawer Slides - 35Kg. (35 STDS1-40-35SS 400 mm SS Set of 2 Pcs 1955,STDS1-50-35SS,45 mm | 450 mm | 500 mm | 300 mm,SS,Set of 2 Pcs,500,"2,435",
Drawer Slides,Drawer Slides - 35Kg. (35 STDS1-40-35SS 400 mm SS Set of 2 Pcs 1955,STDS1-30-35SS-SC,500 mm | 300 mm | 350 mm,SS,Set of 2 Pcs,300,"1,861",
Drawer Slides,Drawer Slides - 35Kg. (35 STDS1-40-35SS 400 mm SS Set of 2 Pcs 1955,STDS1-35-35SS-SC,300 mm | 350 mm,SS,Set of 2 Pcs,350,"2,118",
Drawer Slides,Drawer Slides - 35Kg. -,STDS1-40-35SS-SC,350 mm | 400 mm | 45 mm,SS,Set of 2 Pcs,400,"2,370",
Drawer Slides,"Soft Close (35 Kg, 45 mm",STDS1-45-35SS-SC,400 mm | 45 mm | 450 mm | 500 mm,SS,Set of 2 Pcs,450,"2,634",
Drawer Slides,"Soft Close (35 Kg, 45 mm",STDS1-50-35SS-SC,450 mm | 500 mm,SS,Set of 2 Pcs,500,"2,910",
Drawer Slides,"Soft Close (35 Kg, 45 mm",SFDS1-40-35,400 mm | Load: 35 kgs,ZW,Set of 2 Pcs,,581,
Drawer Slides,Steel Furniture Drawer 450 mm,SFDS1-45-35,450 mm | Load: 35 kgs,ZW,Set of 2 Pcs,,652,
Drawer Slides,Slide Load: 35 kgs,SFDS1-50-35,500 mm | Load: 35 kgs,ZW,Set of 2 Pcs,,726,
Drawer Slides,Slide Load: 35 kgs,HD1-90-45-ZW,Load: 35 kgs | 450 mm | 500 mm,ZW/ZW,Kg,90,"1,794",
Drawer Slides,Slide Load: 35 kgs,HD1-90-50-ZW,450 mm | 500 mm | 600 mm,ZW/ZW,Kg,90,"1,996",
Drawer Slides,Slide Load: 35 kgs,HD1-90-60-ZW,500 mm | 600 mm | 750 mm,ZW/ZW,Kg,90,"2,391",
Drawer Slides,Heavy Duty Drawer Slides -,HD1-90-75-ZW,600 mm | 750 mm | 900 mm,ZW/ZW,Kg,90,"2,992",
Drawer Slides,Heavy Duty Drawer Slides -,HD1-90-90-ZW,750 mm | 900 mm | 1050 mm,ZW/ZW,Kg,90,"3,591",
Drawer Slides,Heavy Duty Drawer Slides -,HD1-90-105-ZW,900 mm | 1050 mm | 1200 mm,ZW/ZW,Kg,90,"4,442",
Drawer Slides,Heavy Duty Drawer Slides -,HD1-90-120-ZW,1050 mm | 1200 mm | 450 mm,ZW/ZW,Kg,90,"5,067",
Drawer Slides,Heavy Duty Drawer Slides -,HD1-125-45-ZW,1200 mm | 450 mm | 500 mm,ZW/ZW,Kg,125,"1,893",
Drawer Slides,Heavy Duty Drawer Slides -,HD1-125-50-ZW,450 mm | 500 mm | 550 mm,ZW/ZW,Kg,125,"2,112",
Drawer Slides,125 Kg HD1-125-60-ZW 600 mm / 125 Kg ZW Set of 2 Pcs 2523,HD1-125-75-ZW,550 mm | 600 mm | 750 mm | 900 mm,ZW/ZW,Kg,125,"3,200",
Drawer Slides,125 Kg HD1-125-60-ZW 600 mm / 125 Kg ZW Set of 2 Pcs 2523,HD1-125-90-ZW,750 mm | 900 mm,ZW/ZW,Kg,125,"3,819",
Drawer Slides,125 Kg HD1-125-60-ZW 600 mm / 125 Kg ZW Set of 2 Pcs 2523,TWDS-200-325,200 mm | Load: 12 kgs,ZW/ZB,Set of 2 Pcs,20,204,
Drawer Slides,Two Way Slide TWDS-300-485 ZW/ZB Set of 2 Pcs 25 269,TWDS-375-655,375 mm | Load: 12 kgs,ZW/ZB,Set of 2 Pcs,,321,
Drawer Slides,Drawer Slide-Eco-ZB,CDSEG30-SC-ZW,300 mm | 350 mm,ZW/ZW,,300,975,
Drawer Slides,Drawer Slide-Eco-ZB,CDSEG35-SC-ZW,300 mm | 350 mm | 400 mm,ZW/ZW,,350,997,
